COMMODITY,COMMODITY_DESCRIPTION,EXTENDED_DESCRIPTION,CONTRACT_NAME,naics_code_final,comment,submission_time,naics_title_final,co2e_per_dollar_final,bea_code_final
67033175020,NIPPLE BRASS 2 X 8 IN,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,brass for Glen Bell,332996,,9/26/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
65933780021,COUPLING SCH 40 PVC 3 SLIP,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN   10/19/2018,MSC material for AWWBSC,326122,,9/25/24,Plastics Pipe and Pipe Fitting Manufacturing,0.434,326120
67033140008,TEE BRASS 1-1/2 X 1-1/2 X 1-1/2 IN,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____  DELIVERY DATE SHALL BE NO LATER THAN 11/28/19,TI material for awgbsc,332913,,9/25/24,Plumbing Fixture Fitting and Trim Manufacturing,0.193,332913
67039110016,COUPLING PVC SCHED 40 1/2 IN,RC LN______QTY DEL______P/F____B/O____DEL DATE_________,material needed at awgbsc,326122,,9/25/24,Plastics Pipe and Pipe Fitting Manufacturing,0.434,326120
67033195004,COUPLING BRASS COMP GJ X COMP GJ 1-1/4 IN,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,Brass order for Glen Bell warehouse,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
65933141001,COUPLING BRASS 1IN. MIP X COMPRESSION GRIP JOINT,RC LN_____ QTY DEL____ P/F____ B/O____ DEL DATE_____,MATERIAL NEEDED AT AWGBSC,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67039110016,COUPLING PVC SCHED 40 1/2 IN,RC LN_____QTY DEL_____P/F___B/O___DEL DATE_______,material needed at awgbsc,326122,,9/25/24,Plastics Pipe and Pipe Fitting Manufacturing,0.434,326120
65933790002,COUPLING PVC SCH40 COMPRESSION 3/4 INCH,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,MSC weekly CMI scan for Webberville warehouse,332913,,9/25/24,Plumbing Fixture Fitting and Trim Manufacturing,0.193,332913
65933141002,COUPLING BRASS 2IN. MIP X COMPRESSION GRIP JOINT,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____  DELIVERY DATE SHALL BE NO LATER THAN 4/10/20,cm material for awwbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
89049325001,NIPPLE CI FLANGED 16 IN LONG DRILLED 4 IN,RC LN_______QTY DEL______P/F_____B/O_____DEL DATE__________,material needed at wbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
65944901002,PIPE JOINT RESTRAINT FOR D.I. PIPE MJ GLANDS 6 INCH,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 7/20/2018      ******** (8) For CIP Hornsby ************,Ferguson material for AWWBSC,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67052110001,COUPLING STL PIPE REPAIR 4 IN STL PIPE,RC LN_____ QTY DEL_____ P/F____ B/O____ DEL DATE_________,material needed at gbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033200003,COUPLING BRASS MIP X COMPRESSION GJ 1 1/4IN,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____  DELIVERY DATE SHALL BE NO LATER THAN 10/18/19,cm material for awgbsc,332913,,9/25/24,Plumbing Fixture Fitting and Trim Manufacturing,0.193,332913
67033175019,NIPPLE BRASS 2 X 6 IN,RC LN___ QTY DEL___ P/F____ B/B____ DEL DATE________,material needed at awbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
65933141003,COUPLING BRASS 1 1/2IN. MIP X COMPRESSION GRIP JOINT,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____   DELIVERY DATE SHALL BE NO LATER THAN 6/2/21,cm material for awgbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033195005,COUPLING BRASS COP TO COP STYLE C 2 IN,RC LN___ QTY DEL___ P/F____ B/O____ DEL DATE______,MATERIAL NEEDED AT AWGBSC,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
89050120006,ELBOW PVC SEWER SDR-35 22-1/2 DEGREES 4 INCH,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 4/20/2018,ACT material for Webberville warehouse,332913,,9/25/24,Plumbing Fixture Fitting and Trim Manufacturing,0.193,332913
67052111001,COUPLING STL PIPE REPAIR 1/2 IN STL PIPE,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,Materials needed at Webberville warehouse,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033175019,NIPPLE BRASS 2 X 6 IN,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,Brass order for Webberville warehouse,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67061100002,"ROD SEWER FLAT STEEL 1"" X 1/8 100 FT",RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____   DELIVERY DATE SHALL BE NO LATER THAN 9/7/20,Wolseley material for awwbsc,331110,,9/25/24,Iron and Steel Mills and Ferroalloy Manufacturing,0.979,331110
89049230008,BEND CI MECH JT 45 DEG 6 IN,RC LN___ QTY DEL___ P/F___B/O____ DEL DATE_______,MATERIAL NEEDED AT AWGBSC,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67052125007,COUPLING STL REPAIR FC 2 X 2-1/2 X 12-1/2 IN,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____,act material for awgbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033160003,COUPLING BRASS 1 IN,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,Materials needed at Glen Bell warehouse,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67039110016,COUPLING PVC SCHED 40 1/2 IN,RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________  .  DELIVERY DATE SHALL BE NO LATER THAN  7/29/20,MSC material for AWGBSC,326122,,9/25/24,Plastics Pipe and Pipe Fitting Manufacturing,0.434,326120
67033195004,COUPLING BRASS COMP GJ X COMP GJ 1-1/4 IN,RC LN_____ QTY DEL_____ P/F____ B/O_____ DEL DATE__________,material needed at wbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033175017,NIPPLE BRASS 2 X 3 IN,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE__________,material needed at wbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033160006,COUPLING BRASS 2 IN,RC LN______QTY DEL______P/F____B/O____DEL DATE________,material needed at awwbsc,332919,,9/25/24,Other Metal Valve and Pipe Fitting Manufacturing,0.24,33291A
89050115002,COUPLING PVC SEWER SDR-35 6 IN,RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________    DELIVERY DATE SHALL BE NO LATER THAN  2/26/2019,ACT material for AWWBSC,326122,,9/25/24,Plastics Pipe and Pipe Fitting Manufacturing,0.434,326120
6595045,"NIPPLE, CAST IRON, FLANGED","NIPPLE FLANGE 6"" X 3FT DI",material needed at wbsc,331511,,9/25/24,Iron Foundries,0.446,331510
28521,"Conduit and Fittings, Aluminum",,Hill Country Supplies for Lake Creek Pumping Station,335932,,9/25/24,Noncurrent-Carrying Wiring Device Manufacturing,0.261,335930
67033165007,NIPPLE BRASS 1/4 IN X CLOSE,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE_________,material needed at wbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67033195003,COUPLING BRASS COMP GJ X COMP GJ 1 1/2 IN,RC LN_____ QTY DEL____ P/F_____ B/O____ DEL DATE________,material needed at awgbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
89049230012,BEND CI MECH JT 45 DEG 8 IN,RC LN___ QTY DEL___ P/F____ B/O____ DEL DATE______,material needed at awgbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
89049230010,BEND CI MECH JT 11-1/4 DEG 8 IN,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE__________,material needed at wbsc,332312,,9/25/24,Fabricated Structural Metal Manufacturing,0.35,332310
65944902003,PIPE JOINT RESTRAINT FOR PVC PIPE MJ GLANDS 8 INCH,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____  DELIVERY DATE SHALL BE NO LATER THAN 3/28/19,Ferguson material for awgbsc,326122,,9/25/24,Plastics Pipe and Pipe Fitting Manufacturing,0.434,326120
67033195002,COUPLING BRASS COMP GJ X COMP GJ 1 IN,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 11/02/2017,CM material for Glen Bell warehouse,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67039105003,ADAPTER PVC SCHED 40 3/4 IN PVC TO 3/4 IN FIPT,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,Material needed at Glen Bell warehouse,326122,,9/25/24,Plastics Pipe and Pipe Fitting Manufacturing,0.434,326120
6705875,"TUBES, REFILL, BRASS/COPPER",2 8 Cast 150 # cop comp flange,Purchase various irrigation supplies for ANC for system.,331420,,9/25/24,"Copper Rolling, Drawing, Extruding, and Alloying",0.537,331420
67033195005,COUPLING BRASS COMP GJ X COMP GJ 2 IN,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE__________,material needed at wbsc,332996,,9/25/24,Fabricated Pipe and Pipe Fitting Manufacturing,0.365,332996
67051,Pipe and Utility Markers,"To cover shipping and handling fee $179.91 on Invoice 247360A.  DO 20081912367 could not be modified due to BFY Error.  Invoice 247360A replaces Invoice 247360 dated 9/30/20     PR 2020-1001352    Request made 08/18/20 by Liz Herren    STORM DRAIN MARKERS & ADHESIVES.    QTY 400 Storm Drain Markers-Sunfish at $3.7 each; Total $1,480  QTY 400 AAD4 Awesome Adhesives at $1.24 each; Total $496    Grand Total $1,976",STORM DRAIN MARKERS & ADHESIVES.,-2,,9/25/24,,,
67039110016,COUPLING PVC SCHED 40 1/2 IN,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE_________,MSC material for Webberville warehouse,326122,,9/25/24,Plastics Pipe and Pipe Fitting Manufacturing,0.434,326120
65906,Adapters,,"M33 x 1"" x 1 1/8"" Long Pipe Adapter",334417,,9/26/24,Electronic Connector Manufacturing,0.167,33441A
