Ingredient,impact_factor_final,impact_factor_name_final,impact_value_final,impact_unit_final,ref_amount_final,ref_unit_final
dumpling wrapper,,,,,,
candy bar,,,,,,
brown sesame seed,de7968ed-3a7b-48e3-b3b4-705fc417bd4f_493461ac-622e-4fe6-81b9-c429f42982b7_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for sesame seed,2.801586996,kg,1,kg
grana padano,,,,,,
red chili pepper,9e2a803e-3fc5-43fb-b7d6-139ae91dd72c_6da04e2b-e9e9-5cc4-8227-a5b19b91b936_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for chilli,0.230959987,kg,1,kg
red chilli padi,9e2a803e-3fc5-43fb-b7d6-139ae91dd72c_6da04e2b-e9e9-5cc4-8227-a5b19b91b936_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for chilli,0.230959987,kg,1,kg
oyster,,,,,,
gingerbread syrup,,,,,,
sardines in tomato sauce,,,,,,
french fry,,,,,,
broiler chicken,a714b4fb-4fc2-40e3-b5c7-62209dacf63a_2da20646-8adf-460b-bd65-c9fc35494b66_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for chicken for slaughtering, live weight",2.444632694,kg,1,kg
whole grain baguette,,,,,,
green cardamom seed,,,,,,
maraschino cherry juice,,,,,,
barbecued beef,,,,,,
habanero pepper,9e2a803e-3fc5-43fb-b7d6-139ae91dd72c_6da04e2b-e9e9-5cc4-8227-a5b19b91b936_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for chilli,0.230959987,kg,1,kg
dry pasta shell macaroni,,,,,,
colored crystal sugar,a7edce37-6252-45bf-9c3f-62a56e0d79d7_601aa448-72b2-4c2c-a05a-e185516d62a1_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for sugar, from sugarcane",0.844260073,kg,1,kg
rock cornish hen,a714b4fb-4fc2-40e3-b5c7-62209dacf63a_2da20646-8adf-460b-bd65-c9fc35494b66_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for chicken for slaughtering, live weight",2.444632694,kg,1,kg
pita bread round,,,,,,
bread bowl,,,,,,
dark molass,0ff0521e-6598-47c3-a5d4-1b5afbee651c_26448127-c1ac-4f48-818a-5e8fd9cb1645_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for molasses, from sugar beet",0.056047878,kg,1,kg
apricot fruit spread,,,,,,
tuna in brine,,,,,,
lean stew meat,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
olive bread,,,,,,
non-creamy horseradish,,,,,,
spaghettus,,,,,,
candy,,,,,,
ground hazelnut,,,,,,
garlic & herb cheese,,,,,,
anise liqueur,,,,,,
red lentil,5f1ba7e7-d0da-4603-b0f9-244fe1eee88b_4783e92c-7b3b-5227-8270-18e215988fcc_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for lentil,0.771483329,kg,1,kg
pignoli,,,,,,
frozen rhubarb,,,,,,
parmesan-romano cheese mix,,,,,,
berry,,,,,,
small onion,ec3da8f3-f6fd-4421-b153-ae40f27b5188_1945897f-c0a2-4dbf-8397-9fd93e6a9445_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for onion,0.323529993,kg,1,kg
sorghum flmy,38350bd8-afe5-4526-a29b-9b7309f532fe_693d6795-b325-4ac0-af34-9ceda82a44fe_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for sweet sorghum grain,0.227221495,kg,1,kg
korma paste,,,,,,
tomato relish,,,,,,
coleman's dry mustard,4bc3b6d0-7d4e-446b-9092-e8dbcc8cc1eb_315e2112-33e3-431d-891c-58a24fee409f_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for mustard,2.12646028,kg,1,kg
red pearl onion,ec3da8f3-f6fd-4421-b153-ae40f27b5188_1945897f-c0a2-4dbf-8397-9fd93e6a9445_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for onion,0.323529993,kg,1,kg
jelly bean,,,,,,
carrot,2447f8d2-3f81-49c5-a158-1fb466e2120b_ed50040b-8630-4560-9b12-dd6cb2c9d741_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for carrot,0.251401293,kg,1,kg
dill weed,,,,,,
mint chip,,,,,,
onion roasted garlic soup mix,,,,,,
choko,,,,,,
mexican chili powder,,,,,,
liquid dish soap,0a314b39-05dd-4cd1-92ac-b245b0910122_3372cdea-bef5-4186-9ae6-b67a016aa67d_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for soap,5.251174775,kg,1,kg
king crab meat,,,,,,
litchi,,,,,,
baker's chocolate,,,,,,
pork side rib,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
baked beans in tomato sauce,,,,,,
masa dough,,,,,,
frozen cheese tortellini,,,,,,
shrimp paste,,,,,,
vodka sauce,,,,,,
walleye,,,,,,
au gratin potato,,,,,,
large egg,,,,,,
wine-cured sauerkraut,,,,,,
popcorn chicken,,,,,,
green chily,,,,,,
cornmeal,796e919e-1c68-4bd8-a357-3bc945c54c6d_dadc7057-9041-4fae-893c-20aba9725f29_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for maize grain,0.555809351,kg,1,kg
beef sirloin steak,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
velveeta pepper jack cheese,3b2a7b5b-b904-43a2-864d-ab9111d83883_e35863ed-da3f-4255-a90d-623066f43fd3_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for cheese, from cow milk, fresh, unripened",12.48580648,kg,1,kg
english toffee,,,,,,
banana pepper,,,,,,
apple pie spice,,,,,,
grands refrigerated buttermilk biscuit,,,,,,
nopale,,,,,,
shelled pistachio,,,,,,
fish cake,,,,,,
tarragon vinegar,,,,,,
pie crust,,,,,,
mountain pepper,,,,,,
frozen pound cake,,,,,,
rag pasta sauce,,,,,,
dried hijiki seaweed,,,,,,
pecan half,,,,,,
sour mix,,,,,,
whole mixed pickling spice,,,,,,
black olife,,,,,,
whole wheat hoagie roll,,,,,,
goldschlager,,,,,,
corned beef,,,,,,
white fish fillet,,,,,,
saffron,,,,,,
black walnuting,,,,,,
danish blue cheese,,,,,,
spiral shaped pastum,,,,,,
cuervo tequila,,,,,,
sweet red pepper strip,65fcd3cc-40ef-4833-8f3a-489d49f37f26_98813ba1-c1a0-469d-99e0-6f2d8453c47d_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for bell pepper,2.220600128,kg,1,kg
tea,3f6d0090-fb8d-4637-a65f-87f975facb4e_1942f3d1-fad9-43da-a657-d5920c804cd6_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for tea, dried",2.029453679,kg,1,kg
backfin crab meat,,,,,,
chicken leg meat,a714b4fb-4fc2-40e3-b5c7-62209dacf63a_2da20646-8adf-460b-bd65-c9fc35494b66_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for chicken for slaughtering, live weight",2.444632694,kg,1,kg
ground mustard,,,,,,
refrigerated sugar cookie dough,,,,,,
cinnamon-raisin bread,,,,,,
soft tofu,59514d53-7901-4892-8bea-7595ab05265d_880a4a66-9bfb-4830-9a5b-6a4502cbff78_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for tofu,1.199968329,kg,1,kg
milk chocolate candy,,,,,,
seasoned sea salt,,,,,,
